feature,coefficient,abs_coef
num__SeniorCitizen,0.10524722991647494,0.10524722991647494
num__tenure,-0.8619745144077744,0.8619745144077744
num__MonthlyCharges,-0.44059825703854527,0.44059825703854527
num__TotalCharges,0.0925168629101375,0.0925168629101375
num__avg_monthly_spend,0.4042800579283678,0.4042800579283678
num__customer_lifetime_value,0.3578787339398001,0.3578787339398001
cat__gender_Female,-0.13625220857392506,0.13625220857392506
cat__gender_Male,-0.14564825085952826,0.14564825085952826
cat__Partner_No,-0.14874140837349173,0.14874140837349173
cat__Partner_Yes,-0.13315905105996728,0.13315905105996728
cat__Dependents_No,-0.0856819180093049,0.0856819180093049
cat__Dependents_Yes,-0.19621854142414907,0.19621854142414907
cat__PhoneService_No,-0.0430521025828123,0.0430521025828123
cat__PhoneService_Yes,-0.23884835685063635,0.23884835685063635
cat__MultipleLines_No,-0.2965368809615768,0.2965368809615768
cat__MultipleLines_No phone service,-0.0430521025828123,0.0430521025828123
cat__MultipleLines_Yes,0.05768852411093732,0.05768852411093732
cat__InternetService_DSL,-0.5769501004497227,0.5769501004497227
cat__InternetService_Fiber optic,0.5255982819863044,0.5255982819863044
cat__InternetService_No,-0.23054864097003963,0.23054864097003963
cat__OnlineSecurity_No,0.12027474606306288,0.12027474606306288
cat__OnlineSecurity_No internet service,-0.23054864097003963,0.23054864097003963
cat__OnlineSecurity_Yes,-0.17162656452648284,0.17162656452648284
cat__OnlineBackup_No,0.002346976014226698,0.002346976014226698
cat__OnlineBackup_No internet service,-0.23054864097003963,0.23054864097003963
cat__OnlineBackup_Yes,-0.05369879447764779,0.05369879447764779
cat__DeviceProtection_No,-0.040151473753332584,0.040151473753332584
cat__DeviceProtection_No internet service,-0.23054864097003963,0.23054864097003963
cat__DeviceProtection_Yes,-0.011200344710082431,0.011200344710082431
cat__TechSupport_No,0.11316674293448226,0.11316674293448226
cat__TechSupport_No internet service,-0.23054864097003963,0.23054864097003963
cat__TechSupport_Yes,-0.1645185613978971,0.1645185613978971
cat__StreamingTV_No,-0.2530523973393628,0.2530523973393628
cat__StreamingTV_No internet service,-0.23054864097003963,0.23054864097003963
cat__StreamingTV_Yes,0.2017005788759551,0.2017005788759551
cat__StreamingMovies_No,-0.16891761410695388,0.16891761410695388
cat__StreamingMovies_No internet service,-0.23054864097003963,0.23054864097003963
cat__StreamingMovies_Yes,0.11756579564354441,0.11756579564354441
cat__Contract_Month-to-month,0.7590516603836305,0.7590516603836305
cat__Contract_One year,-0.06611417783788198,0.06611417783788198
cat__Contract_Two year,-0.9748379419791914,0.9748379419791914
cat__PaperlessBilling_No,-0.2804247478474234,0.2804247478474234
cat__PaperlessBilling_Yes,-0.00147571158602846,0.00147571158602846
cat__PaymentMethod_Bank transfer (automatic),-0.0839458439873808,0.0839458439873808
cat__PaymentMethod_Credit card (automatic),-0.16196810992158855,0.16196810992158855
cat__PaymentMethod_Electronic check,0.1635054482585234,0.1635054482585234
cat__PaymentMethod_Mailed check,-0.19949195378300114,0.19949195378300114
